fdic_cert_number,failure_date,bank_name,city,state,acquiring_institution,event_type,distress_label
26475,1990-09-27,FORT WORTH STATE BANK,FORT WORTH,,,failure,1
27042,1990-09-27,GREAT WESTERN NATIONAL BANK,LEWISVILLE,,,failure,1
31080,1990-09-21,HIDALGO SAVINGS & LOAN,EDINBURG,,,failure,1
28586,1990-09-21,MERCER SAVINGS BANK,TRENTON,,,failure,1
28366,1990-09-21,SENTRY FEDERAL SAVINGS BANK,HYANNIS,,,failure,1
32274,1990-09-21,TEXAS COMMERCIAL SA,SULPHUR SPRINGS,,,failure,1
29315,1990-09-21,YORKVILLE FEDERAL SAVINGS,NEW YORK,,,failure,1
26654,1990-09-20,CITY NATIONAL BANK OF IRVING,IRVING,,,failure,1
14609,1990-09-20,FIRST COMANCHE BANK,COMANCHE,,,failure,1
10714,1990-09-20,FIRST STATE BANK OF RISING STAR,RISING STAR,,,failure,1
26373,1990-09-14,CITIZENS NATIONAL BANK,KERRVILLE,,,failure,1
32590,1990-09-14,FIRST SB OF HEMPSTEAD,HEMPSTEAD,,,failure,1
22642,1990-09-14,INGRAM STATE BANK,INGRAM,,,failure,1
25872,1990-09-13,CITIZENS BANK,CLARKSVILLE,,,failure,1
22505,1990-09-13,FIRST NATIONAL BANK OF CROSBY,CROSBY,,,failure,1
26686,1990-09-13,FIRST NATIONAL BANK OF KENNEDALE,KENNEDALE,,,failure,1
24295,1990-09-13,WESTERN NATIONAL BANK,FORT WORTH,,,failure,1
4178,1990-09-12,THE PAWNEE NATIONAL BANK,PAWNEE,,,assistance,1
27667,1990-09-07,EL PASO FEDERAL SAVINGS,EL PASO,,,failure,1
31887,1990-09-07,FIRST CITY FSB,LUCEDALE,,,failure,1
16219,1990-09-06,NORTHSIDE BANK,SAN ANTONIO,,,failure,1
29493,1990-08-31,ATLANTA FSA,ATLANTA,,,failure,1
32181,1990-08-31,"ENSIGN BANK, FSB",NEW YORK,,,failure,1
32070,1990-08-31,"FIRST AMERICAN SAVINGS BANK, FSB",SANTA FE,,,failure,1
29118,1990-08-31,FIRST FSA,WINNFIELD,,,failure,1
23402,1990-08-30,"AMERICAN BANK OF COMMERCE, NA",DEL RIO,,,failure,1
10350,1990-08-30,BAY CITY BANK & TRUST CO.,BAY CITY,,,failure,1
26776,1990-08-30,CHISHOLM NATIONAL BANK,PLANO,,,failure,1
25301,1990-08-30,CITIZENS NATIONAL BANK,EL CAMPO,,,failure,1
26953,1990-08-30,FIRST BANK OF PLANO,PLANO,,,failure,1
24293,1990-08-30,SECURITY NATIONAL BANK,AUSTIN,,,failure,1
3299,1990-08-30,THE FIRST NATIONAL BANK OF LEVELLAND,LEVELLAND,,,failure,1
32220,1990-08-24,AMBASSADOR FS & LA,TAMARAC,,,failure,1
29603,1990-08-24,BROKEN ARROW SAVINGS ASSOC.,BROKEN ARROW,,,failure,1
29371,1990-08-24,FIRST FS & LA,TEMPLE,,,failure,1
29499,1990-08-22,SWEETWATER FS & LA,ROCK SPRINGS,,,failure,1
32371,1990-08-17,FINANCIAL SAVINGS OF HARTFORD FSB,HARTFORD,,,failure,1
29297,1990-08-17,FIRST FSA OF TUSCOLA,TUSCOLA,,,failure,1
18290,1990-08-16,CAPITOL BANK & TRUST,OKLAHOMA CITY,,,failure,1
17240,1990-08-16,CHERRY CREEK NATIONAL BANK,DENVER,,,failure,1
26609,1990-08-16,CITY NATIONAL BANK,HOUSTON,,,failure,1
29826,1990-08-10,AMERICAN SA OF MT. CARMEL,MT. CARMEL,,,failure,1
20816,1990-08-10,FIRST PACIFIC BANK,BEVERLY HILLS,,,failure,1
30893,1990-08-10,SUPERIOR FEDERAL SAVINGS BANK,NACOGDOCHES,,,failure,1
2092,1990-08-10,THE NATIONAL BANK OF WASHINGTON,WASHINGTON,,,failure,1
18623,1990-08-09,FIRST NATIONAL BANK OF CORPUS CHRISTI,CORPUS CHRISTI,,,failure,1
31956,1990-08-03,AMIGO FS & LA,BROWNSVILLE,,,failure,1
30312,1990-08-03,HOMETOWN FSA,WINFIELD,,,failure,1
31851,1990-08-03,TENNESSEE FEDERAL SAVINGS BANK,COOKEVILLE,,,failure,1
16392,1990-08-02,AMERICAN BANK & TRUST COMPANY,BATON ROUGE,,,failure,1
18250,1990-08-02,"UNITED BANK OF WACO, NATIONAL ASSOC",WACO,,,failure,1
31444,1990-07-31,UNITED FSB,VIENNA,,,failure,1
32239,1990-07-27,CITIZENS & BUILDERS FS,PENSACOLA,,,failure,1
27788,1990-07-27,GUARANTY SAVINGS BANK FSB,FAYETTEVILLE,,,failure,1
30843,1990-07-27,PROFESSIONAL SAVINGS BANK,CORAL GABLES,,,failure,1
32578,1990-07-27,"STATESMAN BANK FOR SAVINGS, FSB",DES MOINES,,,failure,1
25229,1990-07-27,U.S. SAVINGS BANK OF AMERICA,SEABROOK,,,failure,1
24410,1990-07-26,BANK OF ODESSA,ODESSA,,,failure,1
15740,1990-07-26,BANK OF WILSON,WILSON,,,failure,1
18787,1990-07-26,CONTINENTAL BANK,DALLAS,,,failure,1
25605,1990-07-26,FIRST NATIONAL BANK,PURCELL,,,failure,1
32208,1990-07-20,"CHARTER BANK, A FSB",HATTIESBURG,,,failure,1
29865,1990-07-20,COMMONWEALTH SAVINGS ASSOC.,NEW ORLEANS,,,failure,1
30140,1990-07-20,MAINSTAY FEDERAL SAVINGS,RED BANK,,,failure,1
31269,1990-07-20,UNITED FS & LA,VIDALIA,,,failure,1
28023,1990-07-13,CAPITOL-UNION FSA,BATON ROUGE,,,failure,1
28787,1990-07-13,NORTH TEXAS FSA,WICHITA FALLS,,,failure,1
29240,1990-07-13,PROGRESSIVE SB,NATCHITOCHES,,,failure,1
29023,1990-07-13,SUMMIT FIRST S & LA,SUMMIT,,,failure,1
22583,1990-07-13,THE PERMANENT SAVINGS BANK,NIAGARA FALLS,,,failure,1
26387,1990-07-12,AMERICAN NATIONAL BANK OF GREENVILLE,GREENVILLE,,,failure,1
15274,1990-07-12,IREDELL STATE BANK,IREDELL,,,failure,1
22062,1990-07-06,CAPITAL NATIONAL BANK,BRONX,,,failure,1
31957,1990-07-06,HERITAGE FSA,LANCASTER,,,failure,1
90242,1990-07-06,MILFORD SAVINGS BANK,MILFORD,,,failure,1
