fdic_cert_number,rssd_id,bank_name,city,state,active_status,total_assets,charter_type,established_date,last_updated
11522,68756,Liberty National Bank,Lawton,OK,True,1313993,23516,1902-01-01,2026-07-10
11543,,AMERICAN BANK & TRUST,ORANGEBURG,,False,,,,2026-07-10
11548,,CITIZENS STATE BANK,CARRIZO SPRINGS,,False,,,,2026-07-10
11558,,WASHINGTON COUNTY STATE BANK,BRENHAM,,False,,,,2026-07-10
11561,,NORTHSTAR BANK,DENTON,TX,,2169104,,,2026-07-10
11568,,SANDERSON STATE BANK,SANDERSON,,False,,,,2026-07-10
11569,176464,Alliance Bank,Sulphur Springs,TX,True,1369574,0,1927-06-16,2026-07-10
11576,,FIRST STATE BANK,WEIMAR,,False,,,,2026-07-10
11578,933621,Burke & Herbert Bank & Trust Company,Alexandria,VA,True,7912763,0,1852-01-01,2026-07-10
11579,,UNION BANK&TRUST CO,BOWLING GREEN,VA,,2037566,,,2026-07-10
11584,,EVB,TAPPAHANNOCK,VA,,1445922,,,2026-07-10
11613,,STRONG'S BANK,DODGEVILLE,,False,,,,2026-07-10
11636,,HOME NATIONAL BANK,BLACKWELL,,False,,,,2026-07-10
11639,,THE FIRST NATIONAL BANK OF BLANCHARDVILLE,BLANCHARDVILLE,,False,,,,2026-07-10
11666,543262,D. L. Evans Bank,Burley,ID,True,3660167,0,1904-08-29,2026-07-10
11670,931038,Central Bank Illinois,Geneseo,IL,True,1474470,0,1907-02-01,2026-07-10
11677,,PARK NATIONAL BANK,CHICAGO,IL,False,4680881,,,2026-07-10
11692,,ATKINSON TRUST & SAVINGS BANK,ATKINSON,,False,,,,2026-07-10
11710,,THE FIRST STATE BANK OF WINCHESTER,WINCHESTER,,False,,,,2026-07-10
11771,859141,Availa Bank,Carroll,IA,True,1737007,0,1870-01-01,2026-07-10
11775,,THE BANK OF COMMERCE,CHANUTE,,False,,,,2026-07-10
11783,,AVOYELLES TRUST & SAVINGS BANK,BUNKIE,,False,,,,2026-07-10
11786,,BANK OF ST. CHARLES,ST. ROSE,,False,,,,2026-07-10
11787,,THE OLLA STATE BANK,OLLA,,False,,,,2026-07-10
11789,,THE PEOPLES BANK & TRUST COMPANY,NATCHITOCHES,,False,,,,2026-07-10
11791,,PLANTERS TRUST & SAVINGS BANK OF OPELOUSAS,OPELOUSAS,,False,,,,2026-07-10
11807,150044,United Bank of Michigan,Grand Rapids,MI,True,1091126,0,1903-01-01,2026-07-10
11813,,CADENCE BANK,TUPELO,MS,,53529044,,,2026-07-10
11828,,FARMERS STATE BANK,RISING CITY,,False,,,,2026-07-10
11866,,BRYN MAWR TRUST CO,BRYN MAWR,PA,,5040019,,,2026-07-10
11868,1007819,The Fidelity Deposit and Discount Bank,Dunmore,PA,True,2859364,0,1903-05-11,2026-07-10
11890,,FIRST STATE BANK,VEGA,,False,,,,2026-07-10
11893,,THE FARMERS & MERCHANTS STATE BANK,BALLINGER,,False,,,,2026-07-10
11911,,FIRST STATE BANK,MEMPHIS,,False,,,,2026-07-10
11914,,"FIRST CITY, TEXAS - SOUR LAKE",SOUR LAKE,,False,,,,2026-07-10
11918,,LEXINGTON STATE BANK,LEXINGTON,,False,,,,2026-07-10
11926,,NEW ULM STATE BANK,NEW ULM,,False,,,,2026-07-10
11931,,CHESTER STATE BANK,CHESTER,,False,,,,2026-07-10
